,movie_name,movie_rating,movie_genre,movie_director,movie_actor,movie_genre_split,movie_director_split,movie_actor_split
791,포드 V 페라리,8.7,"['액션', '드라마']",제임스 맨골드,"['맷 데이먼', '크리스찬 베일']",액션 드라마,제임스맨골드,맷데이먼 크리스찬베일
792,생일,8.5,['드라마'],이종언,"['설경구', '전도연']",드라마,이종언,설경구 전도연
793,"힘을 내요, 미스터 리",7.6,"['코미디', '드라마']",이계벽,"['차승원', '엄채영', '박해준']",코미디 드라마,이계벽,차승원 엄채영 박해준
794,항거:유관순 이야기,8.9,['드라마'],조민호,"['고아성', '김새벽', '김예은', '정하담', '류경수']",드라마,조민호,고아성 김새벽 김예은 정하담 류경수
795,장사리 : 잊혀진 영웅들,7.4,['전쟁'],곽경택,"['김명민', '최민호', '김성철', '김인권', '곽시양']",전쟁,곽경택,김명민 최민호 김성철 김인권 곽시양
796,마이펫의 이중생활 2,7.9,"['애니메이션', '어드벤처', '코미디', '가족']",크리스 리노드,"['패튼 오스왈트', '케빈 하트', '에릭 스톤스트릿']",애니메이션 어드벤처 코미디 가족,크리스리노드,패튼오스왈트 케빈하트 에릭스톤스트릿
797,롱 리브 더 킹: 목포 영웅,7.6,"['액션', '드라마']",강윤성,['김래원'],액션 드라마,강윤성,김래원
798,쥬만지: 넥스트 레벨,5.7,"['액션', '어드벤처']",제이크 캐스단,"['드웨인 존슨', '잭 블랙', '케빈 하트', '카렌 길런']",액션 어드벤처,제이크캐스단,드웨인존슨 잭블랙 케빈하트 카렌길런
799,존 윅 3: 파라벨룸,7.0,"['액션', '범죄', '스릴러']",채드 스타헬스키,['키아누 리브스'],액션 범죄 스릴러,채드스타헬스키,키아누리브스
800,남산의 부장들,8.4,['드라마'],우민호,"['이병헌', '이성민', '곽도원', '이희준', '김소진']",드라마,우민호,이병헌 이성민 곽도원 이희준 김소진
801,히트맨,6.4,"['코미디', '액션']",최원섭,"['권상우', '정준호', '황우슬혜', '이이경', '이지원']",코미디 액션,최원섭,권상우 정준호 황우슬혜 이이경 이지원
802,백두산,6.4,"['드라마', '액션']",이해준,"['이병헌', '하정우', '마동석', '전혜진', '수지']",드라마 액션,이해준,이병헌 하정우 마동석 전혜진 수지
803,닥터 두리틀,6.6,"['코미디', '가족', '판타지']",스티븐 개건,['로버트 다우니 주니어'],코미디 가족 판타지,스티븐개건,로버트다우니주니어
804,정직한 후보,7.6,['코미디'],장유정,"['라미란', '김무열', '나문희', '윤경호']",코미디,장유정,라미란 김무열 나문희 윤경호
805,클로젯,7.1,"['미스터리', '드라마']",김광빈,"['하정우', '김남길', '허율', '김시아']",미스터리 드라마,김광빈,하정우 김남길 허율 김시아
806,해치지않아,6.4,['코미디'],손재곤,"['안재홍', '강소라', '박영규', '김성오', '전여빈', '박혁권']",코미디,손재곤,안재홍 강소라 박영규 김성오 전여빈 박혁권
807,천문: 하늘에 묻는다,8.3,['시대극'],허진호,"['최민식', '한석규']",시대극,허진호,최민식 한석규
808,미드웨이,7.7,"['액션', '드라마', '전쟁']",롤랜드 에머리히,"['에드 스크레인', '패트릭 윌슨', '우디 해럴슨', '루크 에반스']",액션 드라마 전쟁,롤랜드에머리히,에드스크레인 패트릭윌슨 우디해럴슨 루크에반스
809,시동,7.5,['드라마'],최정열,"['마동석', '박정민', '정해인', '염정아', '최성은']",드라마,최정열,마동석 박정민 정해인 염정아 최성은
810,작은 아씨들,7.6,"['드라마', '로맨스', '멜로']",그레타 거윅,"['시얼샤 로넌', '엠마 왓슨', '플로렌스 퓨', '엘리자 스캔런', '로라 던', '티모시 샬라메', '메릴 스트립']",드라마 로맨스 멜로,그레타거윅,시얼샤로넌 엠마왓슨 플로렌스퓨 엘리자스캔런 로라던 티모시샬라메 메릴스트립
811,미스터 주: 사라진 VIP,5.1,"['코미디', '드라마']",김태윤,"['이성민', '김서형', '배정남', '신하균']",코미디 드라마,김태윤,이성민 김서형 배정남 신하균
812,나쁜 녀석들: 포에버,6.5,['액션'],아딜 엘 아르비,"['윌 스미스', '마틴 로렌스']",액션,아딜엘아르비,윌스미스 마틴로렌스
813,스타워즈: 라이즈 오브 스카이워커,6.9,"['액션', '어드벤처', '판타지', 'SF']",J.J. 에이브람스,"['데이지 리들리', '존 보예가', '오스카 아이삭', '아담 드라이버']",액션 어드벤처 판타지 SF,J.J.에이브람스,데이지리들리 존보예가 오스카아이삭 아담드라이버
814,지푸라기라도 잡고 싶은 짐승들,7.0,"['범죄', '스릴러']",김용훈,"['전도연', '정우성', '배성우', '윤여정', '신현빈', '정만식', '진경', '정가람', '김준한']",범죄 스릴러,김용훈,전도연 정우성 배성우 윤여정 신현빈 정만식 진경 정가람 김준한
815,스파이 지니어스 ,8.6,"['애니메이션', '액션', '어드벤처', '코미디', '가족', 'SF']",닉 브루노,"['윌 스미스', '톰 홀랜드', '벤 멘델존']",애니메이션 액션 어드벤처 코미디 가족 SF,닉브루노,윌스미스 톰홀랜드 벤멘델존
816,1917,7.3,"['전쟁', '드라마']",샘 멘데스,"['조지 맥케이', '딘 찰스 채프먼']",전쟁 드라마,샘멘데스,조지맥케이 딘찰스채프먼
817,버즈 오브 프레이(할리 퀸의 황홀한 해방),6.9,"['액션', '어드벤처', '범죄']",캐시 얀,"['마고 로비', '메리 엘리자베스 윈스티드', '저니 스몰렛', '로지 페레즈', '엘라 제이 바스코', '이완 맥그리거', '크리스 메시나']",액션 어드벤처 범죄,캐시얀,마고로비 메리엘리자베스윈스티드 저니스몰렛 로지페레즈 엘라제이바스코 이완맥그리거 크리스메시나
818,겨울왕국 2,7.4,"['애니메이션', '어드벤처', '코미디', '판타지', '뮤지컬']",크리스 벅,"['박지윤', '소연', '이장원', '장민혁', '크리스틴 벨', '이디나 멘젤', '조시 게드', '조나단 그로프']",애니메이션 어드벤처 코미디 판타지 뮤지컬,크리스벅,박지윤 소연 이장원 장민혁 크리스틴벨 이디나멘젤 조시게드 조나단그로프
819,신비아파트 극장판 하늘도깨비 대 요르문간드,7.8,['애니메이션'],변영규,"['조현정', '양정화', '김영은', '김채하', '신용우', '김현지']",애니메이션,변영규,조현정 양정화 김영은 김채하 신용우 김현지
820,기생충,7.9,['드라마'],봉준호,"['송강호', '이선균', '조여정', '최우식', '박소담', '이정은', '장혜진']",드라마,봉준호,송강호 이선균 조여정 최우식 박소담 이정은 장혜진
821,포드 V 페라리,8.6,"['액션', '드라마']",제임스 맨골드,"['맷 데이먼', '크리스찬 베일']",액션 드라마,제임스맨골드,맷데이먼 크리스찬베일
822,인비저블맨,7.0,['공포'],리 워넬,['엘리자베스 모스'],공포,리워넬,엘리자베스모스
823,나이브스 아웃,8.1,"['미스터리', '스릴러']",라이언 존슨,"['다니엘 크레이그', '크리스 에반스', '아나 드 아르마스']",미스터리 스릴러,라이언존슨,다니엘크레이그 크리스에반스 아나드아르마스
824,타오르는 여인의 초상,8.3,"['로맨스', '멜로', '드라마']",셀린 샴마,"['아델 아에넬', '노에미 메랑', '루아나 바야미', '발레리아 골리노']",로맨스 멜로 드라마,셀린샴마,아델아에넬 노에미메랑 루아나바야미 발레리아골리노
825,수퍼 소닉,6.8,"['애니메이션', '액션', '어드벤처', '판타지', 'SF']",제프 파울러,"['짐 캐리', '제임스 마스던', '벤 슈와츠']",애니메이션 액션 어드벤처 판타지 SF,제프파울러,짐캐리 제임스마스던 벤슈와츠
826,인셉션,8.7,"['SF', '액션']",크리스토퍼 놀란,"['레오나르도 디카프리오', '조셉 고든 레빗', '마리옹 꼬띠아르', '톰 하디', '엘렌 페이지', '와타나베 켄']",SF 액션,크리스토퍼놀란,레오나르도디카프리오 조셉고든레빗 마리옹꼬띠아르 톰하디 엘렌페이지 와타나베켄
827,조조 래빗,8.4,"['코미디', '드라마', '전쟁']",타이카 와이티티,"['로먼 그리핀 데이비스', '토마신 맥켄지', '타이카 와이티티', '스칼렛 요한슨']",코미디 드라마 전쟁,타이카와이티티,로먼그리핀데이비스 토마신맥켄지 타이카와이티티 스칼렛요한슨
828,21 브릿지: 테러 셧다운 ,7.5,"['액션', '범죄', '스릴러', '드라마']",브라이언 커크,['채드윅 보스만'],액션 범죄 스릴러 드라마,브라이언커크,채드윅보스만
829,극장판 미니특공대: 공룡왕 디노 ,7.6,['애니메이션'],이영준,"['신용우', '엄상현', '양정화', '이소영']",애니메이션,이영준,신용우 엄상현 양정화 이소영
830,프린스 코기,7.2,"['애니메이션', '코미디', '가족']",벤 스타센,['심규혁'],애니메이션 코미디 가족,벤스타센,심규혁
831,눈의 여왕4,8.0,"['애니메이션', '어드벤처', '가족', '판타지']",로버트 렌스,"['양정화', '박지윤', '임채헌']",애니메이션 어드벤처 가족 판타지,로버트렌스,양정화 박지윤 임채헌
